player_id,full_name,position,nationality,shirt_number,team,matches_played,goals_scored,avg_minutes,starts
748,Tom Heaton,Goalkeeper,ENG,,Manchester Utd,0,0,0.0,0
749,Diego León,Defender,,,Manchester Utd,0,0,0.0,0
750,Tyrell Malacia,Defender,,,Manchester Utd,0,0,0.0,0
751,André Onana,Goalkeeper,,,Manchester Utd,0,0,0.0,0
752,Marc Guéhi,Defender,ENG,,Crystal Palace,0,0,0.0,0
753,Dean Henderson,Goalkeeper,ENG,,Crystal Palace,0,0,0.0,0
754,Maxence Lacroix,Defender,,,Crystal Palace,0,0,0.0,0
755,Chris Richards,Defender,,,Crystal Palace,0,0,0.0,0
756,Tyrick Mitchell,Defender,ENG,,Crystal Palace,0,0,0.0,0
757,Daniel Muñoz,Defender,,,Crystal Palace,0,0,0.0,0
758,Jean-Philippe Mateta,Forward,,,Crystal Palace,0,0,0.0,0
759,Ismaila Sarr,Midfielder,,,Crystal Palace,0,0,0.0,0
760,Daichi Kamada,Midfielder,,,Crystal Palace,0,0,0.0,0
761,Adam Wharton,Midfielder,ENG,,Crystal Palace,0,0,0.0,0
762,Yeremi Pino,Midfielder,,,Crystal Palace,0,0,0.0,0
763,Will Hughes,Midfielder,ENG,,Crystal Palace,0,0,0.0,0
764,Jefferson Lerma,Midfielder,,,Crystal Palace,0,0,0.0,0
765,Justin Devenny,Midfielder,NIR,,Crystal Palace,0,0,0.0,0
767,Eddie Nketiah,Midfielder,ENG,,Crystal Palace,0,0,0.0,0
768,Romain Esse,Forward,ENG,,Crystal Palace,0,0,0.0,0
769,Christantus Uche,Midfielder,,,Crystal Palace,0,0,0.0,0
770,Nathaniel Clyne,Defender,ENG,,Crystal Palace,0,0,0.0,0
771,Odsonne Édouard,Forward,,,Crystal Palace,0,0,0.0,0
772,Jaydee Canvot,Defender,,,Crystal Palace,0,0,0.0,0
773,Borna Sosa,Defender,,,Crystal Palace,0,0,0.0,0
774,Walter Benítez,Goalkeeper,,,Crystal Palace,0,0,0.0,0
775,Rio Cardines,Midfielder,,,Crystal Palace,0,0,0.0,0
776,Remi Matthews,Goalkeeper,ENG,,Crystal Palace,0,0,0.0,0
777,Jesurun Rak Sakyi,Forward,ENG,,Crystal Palace,0,0,0.0,0
778,Kaden Rodney,Defender,ENG,,Crystal Palace,0,0,0.0,0
779,Lewis Dunk,Defender,ENG,,Brighton,0,0,0.0,0
780,Jan Paul van Hecke,Defender,,,Brighton,0,0,0.0,0
781,Bart Verbruggen,Goalkeeper,,,Brighton,0,0,0.0,0
782,Yankuba Minteh,Forward,,,Brighton,0,0,0.0,0
783,Carlos Baleba,Midfielder,,,Brighton,0,0,0.0,0
784,Yasin Ayari,Midfielder,,,Brighton,0,0,0.0,0
785,Danny Welbeck,Forward,ENG,,Brighton,0,0,0.0,0
786,Georginio Rutter,Forward,,,Brighton,0,0,0.0,0
787,Ferdi Kadioglu,Defender,,,Brighton,0,0,0.0,0
788,Mats Wieffer,Defender,,,Brighton,0,0,0.0,0
789,Kaoru Mitoma,Forward,,,Brighton,0,0,0.0,0
790,Diego Gómez,Midfielder,,,Brighton,0,0,0.0,0
791,Maxim De Cuyper,Defender,,,Brighton,0,0,0.0,0
792,Joël Veltman,Defender,,,Brighton,0,0,0.0,0
793,Brajan Gruda,Midfielder,,,Brighton,0,0,0.0,0
795,Jack Hinshelwood,Midfielder,ENG,,Brighton,0,0,0.0,0
796,James Milner,Midfielder,ENG,,Brighton,0,0,0.0,0
797,Stefanos Tzimas,Midfielder,,,Brighton,0,0,0.0,0
798,Tom Watson,Forward,ENG,,Brighton,0,0,0.0,0
799,Diego Coppola,Defender,,,Brighton,0,0,0.0,0
800,Charalampos Kostoulas,Midfielder,,,Brighton,0,0,0.0,0
801,Joe Knight,Midfielder,ENG,,Brighton,0,0,0.0,0
802,Nehemiah Oriola,Midfielder,ENG,,Brighton,0,0,0.0,0
803,Olivier Boscagli,Defender,,,Brighton,0,0,0.0,0
804,Jason Steele,Goalkeeper,ENG,,Brighton,0,0,0.0,0
805,Morgan Rogers,Midfielder,ENG,,Aston Villa,0,0,0.0,0
806,Matty Cash,Defender,,,Aston Villa,0,0,0.0,0
807,John McGinn,Forward,SCT,,Aston Villa,0,0,0.0,0
808,Ollie Watkins,Forward,ENG,,Aston Villa,0,0,0.0,0
809,Ezri Konsa,Defender,ENG,,Aston Villa,0,0,0.0,0
810,Lucas Digne,Defender,,,Aston Villa,0,0,0.0,0
811,Emiliano Martínez,Goalkeeper,,,Aston Villa,0,0,0.0,0
